month,target_domain,placement_url,link_type,target_page,anchor_text,status,domain_relevance,notes
2026-02,Search Engine Journal,,Contextual,/blog/roas-benchmarks-2026,ROAS benchmarks 2026,Outreach Sent,High,Benchmark-led outreach wave
2026-02,MarketingProfs,,Contextual,/break-even-roas-by-margin,break-even ROAS calculator,Outreach Sent,High,Commercial intent asset
2026-02,CXL,,Contextual,/comparisons/roas-vs-roi-vs-mer-vs-acos,ROAS vs ROI vs MER vs ACoS,Outreach Sent,High,Comparison angle for analysts
2026-03,,,,Contextual,/ppc-toolkit,,Planned,High,Prioritize editorial marketing sites
2026-03,,,,Contextual,/blog/roas-benchmarks-2026,,Planned,High,Use benchmark-led pitch
2026-03,HubSpot Agency Post,,Contextual,/ppc-toolkit,PPC profitability toolkit,Prospecting,High,Pitch agency reporting framework
2026-03,Usermaven,,Contextual,/blog/attribution-impact-on-roas,attribution impact on ROAS,Prospecting,High,Analytics quality angle
2026-04,,,,Contextual,/comparisons/roas-vs-roi-vs-mer-vs-acos,,Planned,High,Comparison intent links
2026-04,,,,Resource,/resources/backlink-outreach-playbook,,Planned,Medium,Secondary link target
2026-04,Martech Zone,,Contextual,/blog/roas-audit-checklist,ROAS audit checklist,Prospecting,Medium,Operator-focused content
2026-05,,,,Contextual,/break-even-roas-by-margin,,Planned,High,High commercial intent
2026-05,Bay Leaf Digital,,Contextual,/blog/payback-period-cash-flow-saas,payback period calculator,Prospecting,Medium,SaaS finance angle
